id,url,title,domain,category,visit_count,typed_count,last_visit_time,total_visits,search_terms
10000,https://example10000.com/page,Example Site 10000 - Long Title With More Text,example10000.com,Other,1,0,2025-06-11T20:05:33+00:00,1,search term 10000
9999,https://example9999.com/page,Example Site 9999 - Long Title With More Text,example9999.com,Other,50,9,2025-06-11T20:05:32.999000+00:00,1,search term 9999
9998,https://example9998.com/page,Example Site 9998 - Long Title With More Text,example9998.com,Other,49,8,2025-06-11T20:05:32.998000+00:00,1,search term 9998
9997,https://example9997.com/page,Example Site 9997 - Long Title With More Text,example9997.com,Other,48,7,2025-06-11T20:05:32.997000+00:00,1,search term 9997
9996,https://example9996.com/page,Example Site 9996 - Long Title With More Text,example9996.com,Other,47,6,2025-06-11T20:05:32.996000+00:00,1,search term 9996
9995,https://example9995.com/page,Example Site 9995 - Long Title With More Text,example9995.com,Other,46,5,2025-06-11T20:05:32.995000+00:00,1,search term 9995
9994,https://example9994.com/page,Example Site 9994 - Long Title With More Text,example9994.com,Other,45,4,2025-06-11T20:05:32.994000+00:00,1,search term 9994
9993,https://example9993.com/page,Example Site 9993 - Long Title With More Text,example9993.com,Other,44,3,2025-06-11T20:05:32.993000+00:00,1,search term 9993
9992,https://example9992.com/page,Example Site 9992 - Long Title With More Text,example9992.com,Other,43,2,2025-06-11T20:05:32.992000+00:00,1,search term 9992
9991,https://example9991.com/page,Example Site 9991 - Long Title With More Text,example9991.com,Other,42,1,2025-06-11T20:05:32.991000+00:00,1,search term 9991
9990,https://example9990.com/page,Example Site 9990 - Long Title With More Text,example9990.com,Other,41,0,2025-06-11T20:05:32.990000+00:00,1,search term 9990
9989,https://example9989.com/page,Example Site 9989 - Long Title With More Text,example9989.com,Other,40,9,2025-06-11T20:05:32.989000+00:00,1,search term 9989
9988,https://example9988.com/page,Example Site 9988 - Long Title With More Text,example9988.com,Other,39,8,2025-06-11T20:05:32.988000+00:00,1,search term 9988
9987,https://example9987.com/page,Example Site 9987 - Long Title With More Text,example9987.com,Other,38,7,2025-06-11T20:05:32.987000+00:00,1,search term 9987
9986,https://example9986.com/page,Example Site 9986 - Long Title With More Text,example9986.com,Other,37,6,2025-06-11T20:05:32.986000+00:00,1,search term 9986
9985,https://example9985.com/page,Example Site 9985 - Long Title With More Text,example9985.com,Other,36,5,2025-06-11T20:05:32.985000+00:00,1,search term 9985
9984,https://example9984.com/page,Example Site 9984 - Long Title With More Text,example9984.com,Other,35,4,2025-06-11T20:05:32.984000+00:00,1,search term 9984
9983,https://example9983.com/page,Example Site 9983 - Long Title With More Text,example9983.com,Other,34,3,2025-06-11T20:05:32.983000+00:00,1,search term 9983
9982,https://example9982.com/page,Example Site 9982 - Long Title With More Text,example9982.com,Other,33,2,2025-06-11T20:05:32.982000+00:00,1,search term 9982
9981,https://example9981.com/page,Example Site 9981 - Long Title With More Text,example9981.com,Other,32,1,2025-06-11T20:05:32.981000+00:00,1,search term 9981
9980,https://example9980.com/page,Example Site 9980 - Long Title With More Text,example9980.com,Other,31,0,2025-06-11T20:05:32.980000+00:00,1,search term 9980
9979,https://example9979.com/page,Example Site 9979 - Long Title With More Text,example9979.com,Other,30,9,2025-06-11T20:05:32.979000+00:00,1,search term 9979
9978,https://example9978.com/page,Example Site 9978 - Long Title With More Text,example9978.com,Other,29,8,2025-06-11T20:05:32.978000+00:00,1,search term 9978
9977,https://example9977.com/page,Example Site 9977 - Long Title With More Text,example9977.com,Other,28,7,2025-06-11T20:05:32.977000+00:00,1,search term 9977
9976,https://example9976.com/page,Example Site 9976 - Long Title With More Text,example9976.com,Other,27,6,2025-06-11T20:05:32.976000+00:00,1,search term 9976
9975,https://example9975.com/page,Example Site 9975 - Long Title With More Text,example9975.com,Other,26,5,2025-06-11T20:05:32.975000+00:00,1,search term 9975
9974,https://example9974.com/page,Example Site 9974 - Long Title With More Text,example9974.com,Other,25,4,2025-06-11T20:05:32.974000+00:00,1,search term 9974
9973,https://example9973.com/page,Example Site 9973 - Long Title With More Text,example9973.com,Other,24,3,2025-06-11T20:05:32.973000+00:00,1,search term 9973
9972,https://example9972.com/page,Example Site 9972 - Long Title With More Text,example9972.com,Other,23,2,2025-06-11T20:05:32.972000+00:00,1,search term 9972
9971,https://example9971.com/page,Example Site 9971 - Long Title With More Text,example9971.com,Other,22,1,2025-06-11T20:05:32.971000+00:00,1,search term 9971
